2025-11-14 18:11:45.282 | INFO     | __main__:log_results:113 - Torque [N m] | mean_poisson_deviance: 0.001071
2025-11-14 18:11:45.282 | INFO     | __main__:log_results:113 - Torque [N m] | mean_gamma_deviance: 0.000461
2025-11-14 18:11:45.282 | INFO     | __main__:log_results:113 - Torque [N m] | mean_tweedie_deviance(power=0.0): 0.002931
2025-11-14 18:11:45.283 | INFO     | __main__:log_results:113 - Efficiency [%] | explained_variance_score: 0.991078
2025-11-14 18:11:45.283 | INFO     | __main__:log_results:113 - Efficiency [%] | r2_score: 0.991028
2025-11-14 18:11:45.283 | INFO     | __main__:log_results:113 - Efficiency [%] | d2_absolute_error_score: 0.923988
2025-11-14 18:11:45.283 | INFO     | __main__:log_results:113 - Efficiency [%] | d2_pinball_score: 0.923988
2025-11-14 18:11:45.284 | INFO     | __main__:log_results:113 - Efficiency [%] | d2_tweedie_score: 0.991028
2025-11-14 18:11:45.284 | INFO     | __main__:log_results:113 - Efficiency [%] | mean_absolute_error: 0.852306
2025-11-14 18:11:45.285 | INFO     | __main__:log_results:113 - Efficiency [%] | median_absolute_error: 0.514093
2025-11-14 18:11:45.285 | INFO     | __main__:log_results:113 - Efficiency [%] | mean_squared_error: 1.617423
2025-11-14 18:11:45.285 | INFO     | __main__:log_results:113 - Efficiency [%] | rmse: 1.271780
2025-11-14 18:11:45.286 | INFO     | __main__:log_results:113 - Efficiency [%] | mean_squared_log_error: 0.000401
2025-11-14 18:11:45.286 | INFO     | __main__:log_results:113 - Efficiency [%] | rmsle: 0.020035
2025-11-14 18:11:45.286 | INFO     | __main__:log_results:113 - Efficiency [%] | mean_absolute_percentage_error: 0.012248
2025-11-14 18:11:45.286 | INFO     | __main__:log_results:113 - Efficiency [%] | max_error: 5.865040
2025-11-14 18:11:45.287 | INFO     | __main__:log_results:113 - Efficiency [%] | mean_pinball_loss(alpha=0.5): 0.426153
2025-11-14 18:11:45.288 | INFO     | __main__:log_results:113 - Efficiency [%] | mean_poisson_deviance: 0.025404
2025-11-14 18:11:45.288 | INFO     | __main__:log_results:113 - Efficiency [%] | mean_gamma_deviance: 0.000412
2025-11-14 18:11:45.288 | INFO     | __main__:log_results:113 - Efficiency [%] | mean_tweedie_deviance(power=0.0): 1.617423
2025-11-14 18:11:45.288 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | explained_variance_score: 0.991431
2025-11-14 18:11:45.288 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | r2_score: 0.991430
2025-11-14 18:11:45.288 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | d2_absolute_error_score: 0.932362
2025-11-14 18:11:45.288 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | d2_pinball_score: 0.932362
2025-11-14 18:11:45.288 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | d2_tweedie_score: 0.991430
2025-11-14 18:11:45.288 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | mean_absolute_error: 0.764165
2025-11-14 18:11:45.288 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | median_absolute_error: 0.470635
2025-11-14 18:11:45.288 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | mean_squared_error: 1.588567
2025-11-14 18:11:45.289 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | rmse: 1.260384
2025-11-14 18:11:45.289 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | mean_squared_log_error: 0.000438
2025-11-14 18:11:45.289 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | rmsle: 0.020922
2025-11-14 18:11:45.289 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | mean_absolute_percentage_error: 0.011338
2025-11-14 18:11:45.289 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | max_error: 6.943267
2025-11-14 18:11:45.289 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | mean_pinball_loss(alpha=0.5): 0.382082
2025-11-14 18:11:45.289 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | mean_poisson_deviance: 0.026273
2025-11-14 18:11:45.289 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | mean_gamma_deviance: 0.000445
2025-11-14 18:11:45.289 | INFO     | __main__:log_results:113 - Efficiency (Pt_out - Pt_in) | mean_tweedie_deviance(power=0.0): 1.588567
